Route,Airline,Manufacturer,Distance,DestState,DestLong,DestAirport,DestLat,OriginLong,OriginAirport,OriginState,OriginLat,Flights,DestCity,OriginCity
BNA-DEN,Southwest Airlines Co.,BOEING,1013,CO,-104.666999817,Denver Intl,39.8584098816,-86.6781845093,Nashville International,TN,36.1244773865,1494,Denver,Nashville
BNA-DEN,Skywest Airlines Inc.,CANADAIR,1013,TN,-86.6781845093,Nashville International,36.1244773865,-104.666999817,Denver Intl,CO,39.8584098816,26,Nashville,Denver
MIA-PHL,US Airways Inc.,BOEING,1013,PA,-75.2411422729,Philadelphia Intl,39.8719520569,-80.2905578613,Miami International,FL,25.7932491302,1927,Philadelphia,Miami
MIA-PHL,US Airways Inc.,AIRBUS,1013,PA,-75.2411422729,Philadelphia Intl,39.8719520569,-80.2905578613,Miami International,FL,25.7932491302,239,Philadelphia,Miami
MIA-PHL,American Airlines Inc.,BOEING,1013,FL,-80.2905578613,Miami International,25.7932491302,-75.2411422729,Philadelphia Intl,PA,39.8719520569,129,Miami,Philadelphia
MIA-PIT,US Airways Inc.,AIRBUS,1013,PA,-80.2328720093,Pittsburgh International,40.4914665222,-80.2905578613,Miami International,FL,25.7932491302,44,Pittsburgh,Miami
MIA-PHL,American Airlines Inc.,BEECH,1013,FL,-80.2905578613,Miami International,25.7932491302,-75.2411422729,Philadelphia Intl,PA,39.8719520569,1,Miami,Philadelphia
BNA-DEN,Skywest Airlines Inc.,BOMBARDIER INC,1013,CO,-104.666999817,Denver Intl,39.8584098816,-86.6781845093,Nashville International,TN,36.1244773865,1395,Denver,Nashville
BNA-DEN,Frontier Airlines Inc.,AIRBUS,1013,TN,-86.6781845093,Nashville International,36.1244773865,-104.666999817,Denver Intl,CO,39.8584098816,2146,Nashville,Denver
MSO-MSP,Northwest Airlines Inc.,AIRBUS,1013,MT,-114.090553284,Missoula International,46.916305542,-93.2169189453,Minneapolis-St Paul Intl,MN,44.8805465698,378,Missoula,Minneapolis
MIA-PHL,US Airways Inc.,EMBRAER,1013,PA,-75.2411422729,Philadelphia Intl,39.8719520569,-80.2905578613,Miami International,FL,25.7932491302,42,Philadelphia,Miami
DEN-GRR,Skywest Airlines Inc.,BOMBARDIER INC,1014,MI,-85.5227661133,Kent County International,42.880821228,-104.666999817,Denver Intl,CO,39.8584098816,465,Grand Rapids,Denver
DEN-GRR,United Air Lines Inc.,BOEING,1014,MI,-85.5227661133,Kent County International,42.880821228,-104.666999817,Denver Intl,CO,39.8584098816,121,Grand Rapids,Denver
DEN-GRR,Mesa Airlines Inc.,BOMBARDIER INC,1014,MI,-85.5227661133,Kent County International,42.880821228,-104.666999817,Denver Intl,CO,39.8584098816,1,Grand Rapids,Denver
DEN-GRR,United Air Lines Inc.,AIRBUS,1014,MI,-85.5227661133,Kent County International,42.880821228,-104.666999817,Denver Intl,CO,39.8584098816,95,Grand Rapids,Denver
DFW-RSW,American Airlines Inc.,MCDONNELL DOUGLAS,1017,FL,-81.7551651001,Southwest Florida International,26.5361671448,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,1067,Ft. Myers,Dallas-Fort Worth
DFW-RSW,American Airlines Inc.,CESSNA,1017,TX,-97.0372009277,Dallas-Fort Worth International,32.8959503174,-81.7551651001,Southwest Florida International,FL,26.5361671448,11,Dallas-Fort Worth,Ft. Myers
DFW-RSW,American Airlines Inc.,BEECH,1017,FL,-81.7551651001,Southwest Florida International,26.5361671448,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,22,Ft. Myers,Dallas-Fort Worth
LGA-VPS,Comair Inc.,CANADAIR,1019,NY,-73.8726119995,LaGuardia,40.7772445679,-86.5253982544,Eglin Air Force Base,FL,30.4832496643,4,New York,Valparaiso
GEG-PHX,Mesa Airlines Inc.,CANADAIR,1020,AZ,-112.008056641,Phoenix Sky Harbor International,33.4341659546,-117.533843994,Spokane Intl,WA,47.6198539734,22,Phoenix,Spokane
GEG-PHX,Mesa Airlines Inc.,BOMBARDIER INC,1020,AZ,-112.008056641,Phoenix Sky Harbor International,33.4341659546,-117.533843994,Spokane Intl,WA,47.6198539734,98,Phoenix,Spokane
CLE-PBI,Expressjet Airlines Inc.,EMBRAER,1020,FL,-80.0955963135,Palm Beach International,26.6831626892,-81.849395752,Cleveland-Hopkins Intl,OH,41.4108924866,463,West Palm Beach,Cleveland
CLE-PBI,Continental Air Lines Inc.,BOEING,1020,FL,-80.0955963135,Palm Beach International,26.6831626892,-81.849395752,Cleveland-Hopkins Intl,OH,41.4108924866,288,West Palm Beach,Cleveland
LGA-MSP,American Airlines Inc.,MCDONNELL DOUGLAS,1020,MN,-93.2169189453,Minneapolis-St Paul Intl,44.8805465698,-73.8726119995,LaGuardia,NY,40.7772445679,455,Minneapolis,New York
LGA-MSP,American Airlines Inc.,CESSNA,1020,MN,-93.2169189453,Minneapolis-St Paul Intl,44.8805465698,-73.8726119995,LaGuardia,NY,40.7772445679,9,Minneapolis,New York
LGA-MSP,Northwest Airlines Inc.,AIRBUS,1020,NY,-73.8726119995,LaGuardia,40.7772445679,-93.2169189453,Minneapolis-St Paul Intl,MN,44.8805465698,3158,New York,Minneapolis
LGA-MSP,Northwest Airlines Inc.,BOEING,1020,NY,-73.8726119995,LaGuardia,40.7772445679,-93.2169189453,Minneapolis-St Paul Intl,MN,44.8805465698,1483,New York,Minneapolis
LGA-MSP,Northwest Airlines Inc.,MCDONNELL DOUGLAS,1020,MN,-93.2169189453,Minneapolis-St Paul Intl,44.8805465698,-73.8726119995,LaGuardia,NY,40.7772445679,3,Minneapolis,New York
HOU-PHX,Southwest Airlines Co.,CESSNA,1020,TX,-95.2788925171,William P Hobby,29.6454181671,-112.008056641,Phoenix Sky Harbor International,AZ,33.4341659546,2,Houston,Phoenix
HOU-PHX,Southwest Airlines Co.,BOEING,1020,AZ,-112.008056641,Phoenix Sky Harbor International,33.4341659546,-95.2788925171,William P Hobby,TX,29.6454181671,3287,Phoenix,Houston
HOU-PHX,Southwest Airlines Co.,BEECH,1020,AZ,-112.008056641,Phoenix Sky Harbor International,33.4341659546,-95.2788925171,William P Hobby,TX,29.6454181671,1,Phoenix,Houston
LGA-MSP,American Airlines Inc.,BEECH,1020,NY,-73.8726119995,LaGuardia,40.7772445679,-93.2169189453,Minneapolis-St Paul Intl,MN,44.8805465698,10,New York,Minneapolis
GEG-PHX,US Airways Inc.,AIRBUS,1020,WA,-117.533843994,Spokane Intl,47.6198539734,-112.008056641,Phoenix Sky Harbor International,AZ,33.4341659546,253,Spokane,Phoenix
GEG-PHX,US Airways Inc.,BOEING,1020,AZ,-112.008056641,Phoenix Sky Harbor International,33.4341659546,-117.533843994,Spokane Intl,WA,47.6198539734,1164,Phoenix,Spokane
CLE-DFW,American Eagle Airlines Inc.,BOMBARDIER INC,1021,OH,-81.849395752,Cleveland-Hopkins Intl,41.4108924866,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,1573,Cleveland,Dallas-Fort Worth
IND-MIA,American Eagle Airlines Inc.,EMBRAER,1021,IN,-86.2943878174,Indianapolis International,39.7173309326,-80.2905578613,Miami International,FL,25.7932491302,415,Indianapolis,Miami
